Date,Equity
2025-08-20,100054.58919515258
2025-08-21,100054.81119744791
2025-08-22,100055.53523245818
2025-08-25,100054.72509814212
2025-08-26,100055.77148679867
2025-08-27,100054.9392186682
2025-08-28,100054.69747242966
2025-08-29,100054.23201854978
2025-09-02,100053.52631823752
2025-09-03,100055.54615234016
2025-09-04,100054.96438137659
2025-09-05,100055.54487045428
2025-09-08,100055.31419109137
2025-09-09,100053.607489524
2025-09-10,100053.72178350342
2025-09-11,100053.44214814769
2025-09-12,100051.77994267763
2025-09-15,100052.44728442613
2025-09-16,100051.15653384198
2025-09-17,100049.54925257595
2025-09-18,100050.59823060401
2025-09-19,100052.37098106052
2025-09-22,100053.89234011564
2025-09-23,100052.71115039564
2025-09-24,100052.44895623908
2025-09-25,100054.41404369676
2025-09-26,100056.71141256735
2025-09-29,100055.07029102484
2025-09-30,100054.43983798289
2025-10-01,100053.56814699469
2025-10-02,100053.6635009859
2025-10-03,100054.14301564753
2025-10-06,100055.07089688271
2025-10-07,100053.93700070519
2025-10-08,100055.13444271836
2025-10-09,100054.60691823551
2025-10-10,100055.08991053204
2025-10-13,100059.04666420695
2025-10-14,100058.30930029051
2025-10-15,100059.17376443863
2025-10-16,100058.96935172404
2025-10-17,100059.11347920678
2025-10-20,100058.30386617298
2025-10-21,100058.71333540042
2025-10-22,100059.42461496405
2025-10-23,100059.55487076948
2025-10-24,100059.01418229975
2025-10-27,100059.4586465979
2025-10-28,100057.48841245001
2025-10-29,100059.48664238791
2025-10-30,100060.4262957898
2025-10-31,100064.58306583924
2025-11-03,100066.81753404309
2025-11-04,100063.31783937014
2025-11-05,100076.25725097943
2025-11-06,100070.93877760303
2025-11-07,100068.93427177673
2025-11-10,100061.58925097437
2025-11-11,100060.15455178768
2025-11-12,100058.86801617898
2025-11-13,100058.68496172875
2025-11-14,100059.50331866911
2025-11-17,100059.33407161839
2025-11-18,100062.50175844898
2025-11-19,100056.15877185548
2025-11-20,100054.93272574949
2025-11-21,100056.21029333107
2025-11-24,100061.69744563056
2025-11-25,100062.7461719524
2025-11-26,100057.7502501764
